Type,Identification,Field,Locale,Market,Status,Default content,Translated content
Product,soup-kettle-club-8-5l-100067,body_html,en,,,"Soppgryta Club med 8,5 liters Innerkärl i rostfritt stål, indirekt uppvärmning, steglös reglering upp till 95 °C. Fällbart, vridbart lock med Skedurtag och värmeskydd. Med 8 magnetiska etiketter. För restauranger som dagligen håller flera soppsorter varma.","Club soup pot with 8.5-litre stainless steel Inner pot, indirect heating, infinitely variable control up to 95 °C. Hinged, swivelling lid with Spoon recess and heat protection. With 8 magnetic labels. For restaurants that keep several types of soup warm every day."
Product,thermo-transport-container-20l-ss-100080,title,en,,,"Termo-transportkantin 20L, CNS","Thermo transport container 20L, SS"
Product,thermo-transport-container-20l-ss-100080,body_html,en,,,S&auml;ker och enkel transport av kall eller varm mat.,Safe and easy transportation of cold or hot food.
Product,ice-cube-maker-hk150-100082,title,en,,,Iskubsmaskin HK150,Ice-cube maker HK150
Product,ice-cube-maker-hk150-100082,body_html,en,,,Med iskubsmaskinen kan hålkoner i 3 olika storlekar produceras behovsanpassat. Tack vare den inbyggda vattentanken och det kompakta utförandet är produkten perfekt för serveringsdiskar.,"Hollow cones in 3 different sizes can be produced as required with the ice machine. Thanks to the integrated water tank and the compact design, the device is excellent for use in counters."
Product,ice-cube-maker-w150-100083,title,en,,,Iskubsmaskin W150,Ice-cube maker W150
Product,ice-cube-maker-w150-100083,body_html,en,,,"Kompakt enhet för produktion av genomskinliga iskuber. Perfekt till den mindre restaurangen, och även för privat bruk.","Compact device for production of clear ice cubes. Ideal for small gastronomy operations, e.g. counters and for private use."
Product,thermo-transport-container-20l-plus-100085,title,en,,,Termotransportkantin 20L Plus,Thermo transport container 20L Plus
Product,thermo-transport-container-20l-plus-100085,body_html,en,,,S&auml;ker och problemfri transport av kalla eller varma v&auml;tskor.,Safe and easy transportation of cold or hot fluids.
Product,toaster-ts60-100197,title,en,,,Brödrost TS60,Toaster TS60
Product,toaster-ts60-100197,body_html,en,,,"Det lilla extra: 6 fack med väljare för rostning av 2, 4 eller 6 toastskivor.","There can always be more: 6 slots with selection switch for toasting 2, 4 or 6 slices."
Product,conveyor-toaster-mini-100211,title,en,,,"Rostmaskin ""Mini""","Conveyor toaster ""Mini"""
Product,conveyor-toaster-mini-100211,body_html,en,,,Särskilt platsbesparande - perfekt för bufféer,Particularly space-saving - ideal for buffets
Product,conveyor-toaster-dlt150-1-s-100262,title,en,,,Rostmaskin DLT150-1 S,Conveyor toaster DLT150-1 S
Product,conveyor-toaster-dlt150-1-s-100262,body_html,en,,,"Elegant, kraftfull och mångsidig - den mattsvarta brödrosten imponerar både visuellt och funktionellt. Oavsett om det gäller brödrullar, smörgåstoast eller klassiska toastskivor: allt rostas jämnt och effektivt. Den steglöst reglerbara bandhastigheten, den valbara värmetillförseln och alternativet med främre eller bakre utmatning möjliggör flexibel anpassning till olika krav.","Elegant, powerful and versatile - the continuous toaster in matt black impresses both visually and functionally. Whether bread rolls, sandwich toast or classic toast slices: everything is toasted evenly and efficiently. The infinitely variable belt speed, the selectable heat supply and the option of front or rear output enable flexible adaptation to different requirements."
Product,conveyor-toaster-mini-xs-100273,title,en,,,Rostmaskin Mini-XS,Conveyor toaster Mini-XS
Product,conveyor-toaster-mini-xs-100273,body_html,en,,,"Denna rostmaskin, i mycket kompakt utförande, får plats även i mycket små kök, eller på mycket små buffébord. Trots sin ringa storlek klarar den effektiva maskinen att rosta upp till 90 toastskivor eller franskbrödshalvor i timmen.","This conveyor toaster in extra slim design will find space even in the smallest kitchen or on the smallest buffet table. Despite its size, this high-performance toaster can toast up to 90 slices of bread or half bread rolls in an hour."
Product,toaster-ts20sli-100282,title,en,,,Brödrost TS20Sli,Toaster TS20Sli
Product,toaster-ts20sli-100282,body_html,en,,,Toastglid - praktiskt och s&auml;kert: F&auml;rdig toast glider ner p&aring; en integrerad bricka f&ouml;r borttagning.,Toast slide – practical and safe: Finished toast slides onto an integrated tray for removal.
Product,toaster-ts40-100292,title,en,,,Brödrost TS40,Toaster TS40
Product,toaster-ts40-100292,body_html,en,,,Rostning efter tycke och smak – för 2 eller 4 brödskivor. Rostningsgraden för toastbröd och sandwich-toast ställs in med den steglöst reglerbara timern. En behaglig signal avges när rostningen är klar.,"Toast individually made to suit every taste - optionally for 2 or 4 toast slices. With the infinitely variable timer, the degree of browning of toast and sandwich toast can be individually adjusted. A pleasant-sounding signal announces that toasting is finished."
Product,toaster-tbrb20-100373,title,en,,,Brödrost TBRB20,Toaster TBRB20
Product,toaster-tbrb20-100373,body_html,en,,,"M&aring;ngsidiga funktioner f&ouml;r frukostbuff&eacute;n: upptining, uppv&auml;rmning och rostning av toast och sm&aring;frallor - bagels kan &auml;ven rostas p&aring; endast ena sidan.","Versatile functions for the breakfast buffet: Thawing, heating up and toasting bread and bread rolls - it can even toast bagels on just one side."
Product,toaster-tbrb40-100374,title,en,,,Brödrost TBRB40,Toaster TBRB40
Product,toaster-tbrb40-100374,body_html,en,,,"M&aring;ngsidiga funktioner f&ouml;r frukostbuff&eacute;n: upptining, uppv&auml;rmning och rostning av toast och sm&aring;frallor - bagels kan &auml;ven rostas p&aring; endast ena sidan.","Versatile functions for the breakfast buffet: Thawing, heating up and toasting bread and bread rolls - it can even toast bagels on just one side."
Product,baking-tray-433x333-st-100404,title,en,,,Bakplåt 433x333-ST,Baking tray 433x333-ST
Product,baking-tray-433x333-st-100404,body_html,en,,,Robust bakplåt i rostfritt stål – med 4-sidig kant för säker bakning och transport av produkterna.,Durable stainless steel baking tray - with 4-sided edge for safe baking and transportation of the baked goods.
Product,baking-tray-433x333-si-100405,title,en,,,Bakplåt 433x333-SI,Baking tray 433x333-SI
Product,baking-tray-433x333-si-100405,body_html,en,,,Okomplicerat och miljövänligt – bakplåten med silikonbeläggning möjliggör enklare bakning utan användning av bakplåtspapper eller bakfolie. 4-sidig kant för säker bakning och transport.,Uncomplicated and environmentally-friendly – the silicone-coated baking tray allows uncomplicated baking without the need for baking paper or baking film. The 4-sided edge allows safe baking and transporting.
Product,baking-tray-433x333-al-100406,title,en,,,Bakplåt 433x333-AL,Baking tray 433x333-AL
Product,baking-tray-433x333-al-100406,body_html,en,,,Bakplåten av aluminium är temperaturbeständig upp till 260 °C. 4-sidig kant för säker bakning och transport.,The aluminium baking tray is temperature resistant up to 260 °C. The 4-sided edge allows safe baking and transporting.
Product,perforated-tray-433x333-si-100407,title,en,,,Hålplåt 433x333-SI,Perforated tray 433x333-SI
Product,perforated-tray-433x333-si-100407,body_html,en,,,Okomplicerat och miljövänligt – hålplåten med silikonbeläggning möjliggör enklare bakning utan användning av bakplåtspapper eller bakfolie. 3-sidig kant för säker bakning och transport.,Uncomplicated and environmentally-friendly – the perforated silicone-coated metal sheet tray allows uncomplicated baking without the need for baking paper or baking film. The 3-sided edge allows safe baking and transporting.
Product,perforated-tray-433x333-al-100408,title,en,,,Hålplåt 433x333-AL,Perforated tray 433x333-AL
Product,perforated-tray-433x333-al-100408,body_html,en,,,Hålplåten av aluminium är temperaturbeständig upp till 260 °C. 3-sidig kant för säker bakning och transport.,The perforated aluminium sheet is temperature resistant up to 260 °C. The 3-sided edge allows safe baking and transporting.
Product,baking-tray-600x400-al-100412,title,en,,,Bakplåt 600x400-AL,Baking tray 600x400-AL
Product,baking-tray-600x400-al-100412,body_html,en,,,Bakplåten av aluminium i bageristandardformatet 600x400 är temperaturbeständig upp till 260 °C. 3-sidig kant för säker bakning och transport.,The aluminium baking tray in the bakery norm format 600x400 is temperature resistant up to 260 °C. The 3-sided edge allows safe baking and transporting.
Product,perforated-tray-600x400-al-100413,title,en,,,Hålplåt 600x400-AL,Perforated tray 600x400-AL
Product,perforated-tray-600x400-al-100413,body_html,en,,,Hålplåten av aluminium i bageristandardformatet 600x400 är temperaturbeständig upp till 260 °C. 3-sidig kant för säker bakning och transport.,The perforated aluminium sheet in the bakery norm format 600x400 is temperature resistant up to 260 °C. The 3-sided edge allows safe baking and transporting.
Product,perforated-tray-600x400-si-100416,title,en,,,Hålplåt 600x400-SI,Perforated tray 600x400-SI
Product,perforated-tray-600x400-si-100416,body_html,en,,,Okomplicerat och miljövänligt – hålplåten med silikonbeläggning i bageristandardformatet 600x400 möjliggör enklare bakning utan användning av bakplåtspapper eller bakfolie. 3-sidig kant för säker bakning och transport.,Uncomplicated and environmentally-friendly – the perforated silicone-coated metal sheet tray in the bakery norm format 600x400 allows uncomplicated baking without the need for baking paper or baking film. The 3-sided edge allows safe baking and transporting.
Product,perforated-tray-2-3-al-100417,title,en,,,Hålplåt 2/3-AL,Perforated tray 2/3-AL
Product,perforated-tray-2-3-al-100417,body_html,en,,,Hålplåten av aluminium i 2/3 GN-format är temperaturbeständig upp till 260 °C. 4-sidig kant för säker bakning och transport.,The perforated aluminium sheet in the 2/3 GN format is temperature resistant up to 260 °C. The 4-sided edge allows safe baking and transporting.
Product,perforated-tray-2-3-si-100425,title,en,,,Hålplåt 2/3-SI,Perforated tray 2/3-SI
Product,perforated-tray-2-3-si-100425,body_html,en,,,Okomplicerat och miljövänligt – hålplåten med silikonbeläggning i 2/3 GN-format möjliggör enklare bakning utan användning av bakplåtspapper eller bakfolie. 4-sidig kant för säker bakning och transport.,Uncomplicated and environmentally-friendly – the perforated silicone-coated metal sheet tray in the 2/3 GN format allows uncomplicated baking without the need for baking paper or baking film. The 4-sided edge allows safe baking and transporting.
Product,baking-tray-1-1-al-100426,title,en,,,Bakplåt 1/1-AL,Baking tray 1/1-AL
Product,baking-tray-1-1-al-100426,body_html,en,,,Bakplåten av aluminium i 1/1 GN-format är temperaturbeständig upp till 260 °C. 4-sidig kant för säker bakning och transport.,The aluminium baking tray in the 1/1 GN format is temperature resistant up to 260 °C. The 4-sided edge allows safe baking and transporting.
Product,perforated-tray-1-1-al-100427,title,en,,,Hålplåt 1/1-AL,Perforated tray 1/1-AL
Product,perforated-tray-1-1-al-100427,body_html,en,,,Hålplåten av aluminium i 1/1 GN-format är temperaturbeständig upp till 260 °C. 4-sidig kant för säker bakning och transport.,The perforated aluminium sheet in the 1/1 GN format is temperature resistant up to 260 °C. The 4-sided edge allows safe baking and transporting.
Product,perforated-tray-1-1-si-100428,title,en,,,Hålplåt 1/1-SI,Perforated tray 1/1-SI
Product,perforated-tray-1-1-si-100428,body_html,en,,,Okomplicerat och miljövänligt – hålplåten med silikonbeläggning i 1/1 GN-format möjliggör enklare bakning utan användning av bakplåtspapper eller bakfolie. 4-sidig kant för säker bakning och transport.,Uncomplicated and environmentally-friendly – the perforated silicone-coated metal sheet tray in the 1/1 GN format allows uncomplicated baking without the need for baking paper or baking film. The 4-sided edge allows safe baking and transporting.
Product,grill-plate-egr60400-100437,title,en,,,Vänd-grillplatta EGR60400,Grill plate EGR60400
Product,grill-plate-egr60400-100437,body_html,en,,,"Den vändbara grillplattan är den perfekta kompletteringen till ångugnen eller ugnar med inmatningsmöjligheter på 600 x 400 mm. Den släta sidan tillåter bakning av underbart knapriga pizzor, medan på den räfflade sidan får grillgrönsaker eller kött det typiska grillmönstret och en rejäl rostad arom.","The reversible grill plate is the perfect addition for combi steamers or ovens with 600 x 400 mm insertion options. The smooth side allows for baking wonderfully crispy pizza, while the ridged side gives grilled vegetables or meat the typical grill marks and savory roasted flavors."
Product,perforated-tray-600x400-alb-100438,title,en,,,Hålplåt 600x400-ALB,Perforated tray 600x400-ALB
Product,perforated-tray-600x400-alb-100438,body_html,en,,,Hålplåt av aluminium i bageristandard 600 x 400. Tack vare den innovativa och robusta nonstick-beläggningen förhindras att bakverken fastnar.,Aluminium perforated tray in standard 600 x 400 mm baking format. The innovative and robust non-stick coating prevents baked goods from sticking.
Product,baking-tray-600x400-alb-100439,title,en,,,Bakplåt 600x400-ALB,Baking tray 600x400-ALB
Product,baking-tray-600x400-alb-100439,body_html,en,,,Bakplåt av belagt aluminium i bageristandard 600 x 400. Tack vare den innovativa och robusta nonstick-beläggningen förhindras att bakverken fastnar.,Aluminium baking tray in standard 600 x 400 mm baking format. The innovative and robust non-stick coating prevents baked goods from sticking.
Product,cooking-pot-25l-with-lid-100440,title,en,,,Kastrull 25L med lock,Cooking pot 25L with lid
Product,cooking-pot-25l-with-lid-100440,body_html,en,,,,"Induction, gas, electric The extra large cooking pot with heat-insulated handles is suitable for use on all types of hobs."
Product,cooking-pot-25l-d290-100441,title,en,,,Kastrull 25L-D290,Cooking pot 25L-D290
Product,cooking-pot-25l-d290-100441,body_html,en,,,25 liters kastrull i högformat - passar även för induktion.,25 litre cooking pot in upright format – also suitable for induction.
Product,cooking-pot-70l-d380-100442,title,en,,,Kastrull 70L-D380,Cooking pot 70L-D380
Product,cooking-pot-70l-d380-100442,body_html,en,,,"Kastrull, lämplig för induktion, format XXL för tillagning av upp till 70 liter.",Induction-suitable cooking pot in XXL size for preparing dishes of up to 70 litres.
Product,cooking-pot-30l-with-lid-100445,title,en,,,Kastrull 30L med lock,Cooking pot 30L with lid
Product,cooking-pot-30l-with-lid-100445,body_html,en,,,,"Induction, gas, electric The extra large cooking pot with heat-insulated handles is suitable for use on all types of hobs."
Product,cooking-pot-e6-1l-1-100446,title,en,,,"Kastrull E6,1L-1","Cooking pot E6,1L-1"
Product,cooking-pot-e6-1l-1-100446,body_html,en,,,Kastrullen i rostfritt stål passar alla spistyper. De värmeisolerade handtagen ger en säker hantering i arbetet.,This stainless steel cooking pot is an all-rounder on all types of stove. The heat-insulated handles enable safe handling during work in the kitchen.
Product,cooking-pot-e11l-1-100447,title,en,,,Kastrull E11L-1,Cooking pot E11L-1
Product,cooking-pot-e11l-1-100447,body_html,en,,,Kastrullen i rostfritt stål passar alla spistyper. De värmeisolerade handtagen ger en säker hantering i arbetet.,This stainless steel cooking pot is an all-rounder on all types of stove. The heat-insulated handles enable safe handling during work in the kitchen.
Product,cooking-pot-e16l-1-100448,title,en,,,Kastrull E16L-1,Cooking pot E16L-1
Product,cooking-pot-e16l-1-100448,body_html,en,,,Kastrullen i rostfritt stål passar alla spistyper. De värmeisolerade handtagen ger en säker hantering i arbetet.,This stainless steel cooking pot is an all-rounder on all types of stove. The heat-insulated handles enable safe handling during work in the kitchen.
Product,cooking-pot-e10-4l-1-100449,title,en,,,"Kastrull E10,4L-1","Cooking pot E10,4L-1"
Product,cooking-pot-e10-4l-1-100449,body_html,en,,,Kastrullen i rostfritt stål passar alla spistyper. De värmeisolerade handtagen ger en säker hantering i arbetet.,This stainless steel cooking pot is an all-rounder on all types of stove. The heat-insulated handles enable safe handling during work in the kitchen.
Product,cooking-pot-e3l-sg1-100450,title,en,,,Kastrull E3L-SG1,Cooking pot E3L-SG1
Product,cooking-pot-e3l-sg1-100450,body_html,en,,,"Kastrullen i rostfritt stål passar alla spistyper. Med det fastmonterade, långa handtaget garanterar produkten en optimal hantering i köket.","This stainless steel cooking pot is an all-rounder on all types of stove. With its fixed, long handle, it guarantees optimum handling in the kitchen."
Product,cooking-pot-e4l-sg1-100451,title,en,,,Kastrull E4L-SG1,Cooking pot E4L-SG1
Product,cooking-pot-e4l-sg1-100451,body_html,en,,,"Kastrullen i rostfritt stål passar alla spistyper. Det fast monterade, långa handtaget garanterar att produkten kan hanteras på optimalt sätt i köket.","This stainless steel cooking pot is an all-rounder on all types of stove. With its fixed, long handle, it guarantees optimum handling in the kitchen."
Product,cooking-pot-e6-7l-sg1-100452,title,en,,,"Kastrull E6,7L-SG1",Cooking pot E6.7L-SG1
Product,cooking-pot-e6-7l-sg1-100452,body_html,en,,,"Kastrullen i rostfritt stål passar alla spistyper. Det fast monterade, långa handtaget möjliggör optimal hantering i köket.","This stainless steel cooking pot is an all-rounder on all types of stove. With its fixed, long handle, it guarantees optimum handling in the kitchen."
Product,cooking-pot-e10-4l-sg1-100453,title,en,,,"Kastrull E10,4L-SG1",Cooking pot E10.4L-SG1
Product,cooking-pot-e10-4l-sg1-100453,body_html,en,,,"Kastrullen i rostfritt stål passar alla spistyper. Det fast monterade, långa handtaget garanterar att den kan hanteras på optimalt sätt i köket.","This stainless steel cooking pot is an all-rounder on all types of stove. With its fixed, long handle, it guarantees optimum handling in the kitchen."
Product,frying-pan-e180-d1-100454,title,en,,,Stekpanna E180-D1,Frying pan E180-D1
Product,frying-pan-e180-d1-100454,body_html,en,,,"Allkonstnären i varje kök - stekning, halstring eller uppvärmning: stekpannan i rostfritt stål med tillhörande lock är optimal till varje spis.","A real all-rounder in every kitchen - whether frying, roasting, or heating food, this stainless steel frying pan and matching lid are ideal for use on any hob."
Product,frying-pan-e200-d1-100456,title,en,,,Stekpanna E200-D1,Frying pan E200-D1
Product,frying-pan-e200-d1-100456,body_html,en,,,"Allkonstnären i varje kök - stekning, halstring eller uppvärmning: stekpannan i rostfritt stål med tillhörande lock är optimal till varje spis.","A real all-rounder in every kitchen - whether frying, roasting, or heating food, this stainless steel frying pan and matching lid are ideal for use on any hob."
Product,frying-pan-e240-d1-100457,title,en,,,Stekpanna E240-D1,Frying pan E240-D1
Product,frying-pan-e240-d1-100457,body_html,en,,,"Allkonstnären i varje kök - stekning, halstring eller uppvärmning: stekpannan i rostfritt stål med tillhörande lock är optimal till varje spis.","A real all-rounder in every kitchen - whether frying, roasting, or heating food, this stainless steel frying pan and matching lid are ideal for use on any hob."
Product,salamander-400-1z-100524,body_html,en,,,"Salamander 400 mm med ett infrarött värmeelement (Incoloy), 2,2 kW, höjdställbart grillgaller, Simmerstat-reglering. Klar att ansluta, galler ingår. Instegsmodell för restauranger som ibland vill grilla och hålla maten varm.","Salamander 400 mm with one infrared heating element (Incoloy), 2.2 kW, height-adjustable grill grid, Simmerstat control. Ready to plug in, grid included. Entry-level appliance for restaurants that occasionally need to grill food and keep it warm."
Product,salamander-700-2z-ii-100532,body_html,en,,,Salamandern övertygar med den enkla hanteringen av de båda värmezonerna och de effektiva trålningsvärmekropparna. Grillgallret kan placeras på tre olika höjder och garanterar en flexibel användning.,"The Salamander stands out thanks to the simple operation of the two heating zones and the effective radiators. The grille can be inserted at three different heights, guaranteeing flexible use."
Product,salamander-griddle-6640-100533,title,en,,,Grill-salamander 6640,Salamander griddle 6640
Product,salamander-griddle-6640-100533,body_html,en,,,Den kompakta grill-gratineringskombinationen har en kraftfull grillplatta med 2 värmezoner som regleras separat. Värmetillförseln till salamandern regleras perfekt med det höjdjusterbara gallret och den steglöst ställbara temperaturen. Full kontroll på grillning och gratinering med den digitala timern – även när det är mycket att göra.,"This space-saving grill/broiler combination has a powerful griddle plate with 2 heating zones that can be switched on and off separately. The salamander's heat supply can be regulated perfectly with the height-adjustable rack and stepless temperature control. Thanks to the digital timer, grilling and gratiné processes are always completely controlled – even during peak times."
Product,salamander-400-1z-p-100534,body_html,en,,,"Gratinering, överbakning och varmhållning direkt på plats för ett friktionsfritt arbete. Vid placering på en arbetsbänk kan man använda salamandern i köket eller i serveringen på ett praktiskt sätt från båda sidor, tack vare de långa, öppna sidorna.","Gratinate, grill and keep food warm as you continue working for a workflow without interruptions. When the salamander is placed on a countertop, the two long open sides of the salamander allow practical service from both sides in kitchens and service areas."
Product,lava-rock-7kg-100611,title,en,,,Lavastenar 7kg,Lava rock 7kg
Product,lava-rock-7kg-100611,body_html,en,,,"Lavastenar 7 kg – påfyllnings- och startmängd för kompatibla lavastengrillar. Lavastenar lagrar värme jämnt, fördelar strålningsvärme och skapar den typiska grillaromen. Regelbundet byte håller grillprestandan och hygienen konstant.","Lava stones 7 kg – refill and initial filling quantity for compatible lava stone grills. Lava stones store heat evenly, distribute radiant heat and create the typical grilled aroma. Regular replacement maintains consistent grilling performance and hygiene."
Product,pizza-baking-tray-290-r-100925,title,en,,,Pizza-bakplåt 290-R,Pizza baking tray 290-R
Product,pizza-baking-tray-290-r-100925,body_html,en,,,Pizzabakplåtens perforerade botten ger en god luftcirkulation - pizzabottnen blir knaprigare och genomgräddad. Tack vare beläggningen där inget fastnar kan även tunna och känsliga degar lossas mycket lätt.,"The perforated pizza baking tray ensures good air circulation - to ensure a crispy, well-baked pizza base. Thanks to the non-slip coating even very thin and sensitive dough can be released easily from the tray."
Product,pizza-shovel-alu-100927,title,en,,,Pizzaspade aluminium,Pizza shovel alu
Product,pizza-shovel-alu-100927,body_html,en,,,Pizzaspade i aluminium med 1000 mm skaft och 280 x 280 mm spadeyta – lätt och hållbar. För pizzerior som vill skjuta in och ta ut pizzor snabbt och säkert i stenugnen. Långt skaft för säkert arbete med djupa ugnar.,Aluminium pizza peel with 1000 mm handle and 280 x 280 mm blade – lightweight and durable. For pizzerias that want to slide pizzas into and remove them from the stone oven quickly and safely. Long handle for safe working with deep ovens.
Product,pizza-cutter-100928,title,en,,,Pizzaskärare,Pizza cutter
Product,pizza-cutter-100928,body_html,en,,,"Praktisk pizzaskärare med 100 mm rostfritt stålblad och plasthandtag – för rena, snabba snitt direkt vid bordet eller i köket. Oumbärligt småverktyg för varje pizzeria och varje restaurang som serverar flammkuchen eller pizza.","Handy pizza cutter with 100 mm stainless steel blade and plastic handle – for clean, quick cuts right at the table or in the kitchen. An indispensable small tool for every pizzeria and catering establishment serving tarte flambée or pizza."
Product,rinse-grid-500-101094,title,en,,,Spolgaller 500,Rinse grid 500
Product,rinse-grid-500-101094,body_html,en,,,"Det bättre alternativet till diskkorg för diskning av mycket stora kärl, t.ex. kastruller, skålar och köttlådor.","The better alternative to rinsing baskets for rinsing very large containers, e.g. pots, bowls and meat boxes"
Product,basket-shelf-bf-21e-101402,title,en,,,Korghylla BF 21E,Basket shelf BF 21E
Product,basket-shelf-bf-20g-101404,title,en,,,Korghylla BF 20G,Basket shelf BF 20G
Product,basket-shelf-bf-20g-101404,body_html,en,,,Korghylla på båda sidor för bakverksfritösen BF 20G – av CNS 18/10. Skapar förvaringsutrymme bredvid fritösen för avrunna bakverk utan extra golvyta. För bagerier och konditorier med kontinuerlig friteringsdrift.,Double-sided basket rack for BF 20G bakery fryer – made from 18/10 stainless steel. Provides storage space next to the fryer for drained baked goods without requiring additional floor space. For bakeries and patisseries with continuous frying operations.
Product,pastries-deep-fat-fryer-bf-20g-1014113,title,en,,,Bakverksfritös BF 20G,Pastries deep fat fryer BF 20G
Product,pastries-deep-fat-fryer-bf-20g-1014113,body_html,en,,,"Gasfritös för bakverk BF 20G med 18-liters behållare, 12 kW, piezotändning, stor kallzon och säker avtappningskran. Korg och lock ingår. För bagerier och konditorier som använder gas och friterar stora mängder bakverk dagligen.","BF 20G gas bakery fryer with 18-litre tank, 12 kW, piezo ignition, large cold zone and safety drain tap. Basket and lid included. For bakeries and patisseries that rely on gas and fry large quantities of baked goods daily."
Product,pastries-deep-fat-fryer-bf-21e-101412,title,en,,,Bakverksfritös BF 21E,Pastries deep fat fryer BF 21E
Product,pastries-deep-fat-fryer-bf-21e-101412,body_html,en,,,"Fritös för bakverk med 21-liters behållare, utsvängbart värmeelement, stor kallzon och säker Fettavloppsränna. 6,8 kW, upp till 190 °C. Lock och korg ingår. För bagerier och konditorier med medelstort friteringsbehov och krav på enkel rengöring.","Bakery deep fryer with 21-litre tank, swivelling Heating element, large Cold zone and safety-locked Grease release tap. 6.8 kW, up to 190 °C. Lid and basket included. For bakeries and patisseries with medium frying volumes and a need for easy cleaning."
Product,pastries-deep-fat-fryer-bf-35e-101413,title,en,,,Bakverksfritös BF 35E,Pastries deep fat fryer BF 35E
Product,pastries-deep-fat-fryer-bf-35e-101413,body_html,en,,,"Stor bakverksfritös BF 35E med 35-liters behållare, utsvängbart värmeelement, stor kallzon, säkerhetsförsedd avtappningskran. 10 kW, upp till 190 °C. Korg och lock ingår. För bagerier och konditorier med mycket hög daglig friteringsvolym.","Large bakery deep fryer BF 35E with 35-litre tank, swivelling heating element, large cold zone, safety drain tap. 10 kW, up to 190 °C. Basket and lid included. For bakeries and patisseries with very high daily frying volumes."
Product,deep-frying-basket-bf-35e-101419,title,en,,,Fritöskorg BF 35E,Deep frying basket BF 35E
Product,deep-frying-basket-bf-35e-101419,body_html,en,,,"Stor reservkorg för bakverksfritösen BF 35E – 24,8 liters volym, 970 mm bredd. Förkromat stål. För bagerier och konditorier som med den andra korgen eliminerar avbrott i friteringen och maximerar genomströmningen under Permanent drift.","Large replacement basket for the BF 35E bakery fryer – 24.8-litre content, 970 mm wide. Chrome-plated steel. For bakeries and patisseries that use the second basket to eliminate frying interruptions and maximise throughput in Continuous operation."
Product,pastries-deep-fat-fryer-bf-16e-101530,title,en,,,Bakverksfritös BF 16E,Pastries deep fat fryer BF 16E
Product,deep-frying-basket-bf-16e-101533,title,en,,,Fritöskorg BF 16E,Deep frying basket BF 16E
